COD OFICINA,NOMBRE  OFICINA,PLAZA ACTUAL,NUEVA PLAZA TP CANJE
0372,LA PERLA DUITAMA    ,282,0100
0374,IPIALES             ,374,0100
0375,SAN VIC DEL CAGUAN  ,375,0100
0376,UNAB                ,713,0100
0377,NOBSA               ,596,0100
0378,ISTMINA             ,378,0100
0379,EPM MEDELLIN        ,701,0100
0382,ITAGUI              ,701,0100
0383,SAN AGUSTIN-HUILA   ,383,0100
0386,CARRERA JUNIN       ,701,0100
0387,METROCENTRO         ,707,0100
0389,LA PLAZUELA         ,204,0100
0390,LA DORADA           ,390,0100
0391,CHIPICHAPE          ,706,0100
0392,CALLE MURILLO       ,707,0100
0393,CTRO CIAL STFE MLLIN,701,0100
0395,LA PRIMAVERA V/CENCI,351,0100
0397,SUGAMUXI SOGAMOSO   ,596,0100
0398,LA PLATA            ,398,0100
0400,LA VICTORIA         ,715,0100
0402,LA VIRGINIA         ,715,0100
0404,EX OF CC BUENAVISTA ,564,0100
0406,VIVA ENVIGADO       ,701,0100
0407,LETICIA             ,407,0100
0408,LORICA              ,408,0100
0409,UNICENTRO YOPAL     ,646,0100
0414,MAGANGUE            ,414,0100
0417,CTRO CCIAL FLORIDA  ,701,0100
0418,ARMERO GUAYABAL     ,363,0100
0420,SAN MARTIN CESAR    ,420,0100
0421,GCIA EMP MEDELLIN MB,701,0100
0423,BASE MILITAR COVE#AS,592,0100
0426,MAMONAL             ,204,0100
0427,AV. ROOSVELT-CALI   ,706,0100
0428,MANIZALES           ,428,0100
0429,ESC ML AV M F SUAREZ,706,0100
0431,TERMINAL DE TRANSP. ,701,0100
0432,MATURIN             ,701,0100
0433,EL POBLADO          ,701,0100
0434,MEDELLIN CENTRO     ,701,0100
0436,MONTELIBANO         ,436,0100
0438,MONTERIA            ,438,0100
0439,OF TORRE BCO DE BTA ,564,0100
0442,NEIVA               ,442,0100
0443,CALASANZ            ,701,0100
0445,IMBANACO            ,706,0100
0446,OCANA               ,446,0100
0452,CTRO CIAL EL TESORO ,701,0100
0453,MALAMBO             ,707,0100
0454,UNICENTRO PALMIRA   ,706,0100
0455,PANAMERICANO CALI   ,706,0100
0456,VILLA COLOMBIA CALI ,706,0100
0457,GALAPA              ,707,0100
0458,PALMIRA             ,706,0100
0459,PASO ANCHO          ,706,0100
0461,MUNICIPIO LA UNION  ,461,0100
0462,PAMPLONA            ,462,0100
0463,MARINILLA           ,701,0100
0464,OF PREM TORRE OVIEDO,701,0100
0465,PARQUE OLAYA        ,715,0100
0466,PASTO               ,466,0100
0467,PARQUE WASHINGTON   ,707,0100
0468,PEREIRA             ,715,0100
0469,PIEDECUESTA         ,713,0100
0470,JAMUNDI             ,706,0100
0471,PIVIJAY             ,471,0100
0473,OFIC REC Y PAGO COME,713,0100
0474,PIEDRAPINTADA       ,370,0100
0475,VILLA COLOMBIA CALI ,706,0100
0476,BELEN               ,701,0100
0477,JUNIN               ,706,0100
0478,CAREPA              ,128,0100
0479,VILLA CESPEDES TULUA,612,0100
0480,OFICINA CANAVERALEJO,706,0100
0484,PLAZA DE CAYCEDO    ,706,0100
0486,UNICENTRO (CALI)    ,706,0100
0487,ALAMEDA   (CALI)    ,706,0100
0488,CIUDAD CORDOBA      ,706,0100
0490,AV TERCERA          ,706,0100
0491,C CCIAL MURANO NEIVA,442,0100
0493,CTR CCIAL G PLZ SOL ,707,0100
0494,PLAZA DE MDO V/DUPAR,628,0100
0495,EL TEMPLETE CALI    ,706,0100
0496,CALLE DE LA HERRERIA,520,0100
0497,OFICINA CALDAS      ,701,0100
0498,C CIAL CARRERA      ,706,0100
0504,AV.PEDRO HEREDIA    ,204,0100
0510,LAURELES            ,701,0100
