COD OFICINA,ACTUAL COD REGION COMERCIAL,NUEVO COD REGION COMERCIAL,ACTUAL COD ZONA COMERCIAL,NUEVO COD ZONA COMERCIAL,ACTUAL NOMBRE REGION COMERCIAL,NUEVO NOMBRE REGION COMERCIAL,ACTUAL NOMBRE ZONA COMERCIAL,NUEVO NOMBRE ZONA COMERCIAL,Actual Nombre oficina,NUEVO NOMBRE OFICINA,NOMBRE GERENCIA/AREA,NOMBRE DISTRITO ACTUAL,NOMBRE NUEVO DISTRITO,ID ZONA,ID ZONA PADRE ACTUAL,ID ZONA PADRE MOVIMIENTO,NOMBRE OFICINA,ID ZONA,NOMBRE ACTUAL ZONA,NOMBRE ZONA NUEVO,ACTUAL NOMBRE DISTRITO,NUEVO  NOMBRE DISTRITO,ID ZONA,NOMBRE DIRECCION ACTUAL,NOMBRE NUEVA DIRECCION 
0116,06,41,004,009,NORORIENTE          ,DIRECCION ORIENTE, MAGDALENA MEDIO     ,GZ MAGDALENA MEDIO,AGUACHICA           ,-,,-,-,,,,AGUACHICA           ,, MAGDALENA MEDIO     ,GZ MAGDALENA MEDIO,,-,,,
0120,08,-,001,005,CENTRAL             ,DIRECCION CENTRAL, BOYACA              ,GZ TERRITORIOS ORIENTE COLOMBIANO,AGUAZUL             ,-,,-,Distrito Yopal,,,,AGUAZUL             ,, BOYACA              ,GZ TERRITORIOS ORIENTE COLOMBIANO,,Distrito Yopal,,,
0121,04,07,003,002,ANT-OCC-TOLIMA      ,DIRECCION OCCIDENTE, NARINO CAUCA        ,GZ NARINO Y CAUCA,PASTO PLAZA         ,-,,-,Distrito Pasto,,,,PASTO PLAZA         ,, NARINO CAUCA        ,GZ NARINO Y CAUCA,,Distrito Pasto,,,
0123,42,-,019,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 19,GZ DISTRITOS BTA 3,UNISUR              ,-,,Gcia. Distrito Bogotá 19,Distrito BTA 16,2716,2696,2761,UNISUR              ,2684, GCIA DISTRITO BTA 19,GZ DISTRITOS BTA 3,,Distrito BTA 16,,,
0124,08,-,003,001,CENTRAL             ,DIRECCION CENTRAL,CUNDINAMARCA        ,GZ CUNDINAMARCA SUR,ANOLAIMA            ,-,,-,-,,,,ANOLAIMA            ,,CUNDINAMARCA        ,GZ CUNDINAMARCA SUR,,-,,,
0125,42,06,032,003,DIRECCION DISTRITOS ,DIRECCION CARIBE, G.DISTRITO BQUILLA 1,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,OF EDF BCO BTA BQUIL,-,,Gcia. Distrito B/quilla 1,Distrito B/quilla 1,2926,2921,2921,OF EDF BCO BTA BQUIL,2920, G.DISTRITO BQUILLA 1,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,,Distrito B/quilla 1,,,
0128,04,-,007,003,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE,URABA-MPIOS ANTIOQ  ,GZ MUNICIPOS DE ANTIOQUIA,CC NUESTRO URABA    ,-,,-,Distrito Uraba,,,,CC NUESTRO URABA    ,,URABA-MPIOS ANTIOQ  ,GZ MUNICIPOS DE ANTIOQUIA,,Distrito Uraba,,,
0130,42,-,014,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 14,GZ DISTRITOS BTA 2,TRINIDAD GALAN      ,-,,Gcia. Distrito Bogotá 14,Distrito BTA 13,2722,2752,2748,TRINIDAD GALAN      ,2726, GCIA DISTRITO BTA 14,GZ DISTRITOS BTA 2,,Distrito BTA 13,,,
0131,42,-,005,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 5 ,GZ DISTRITOS BTA 1,C CIAL PALATINO     ,-,,Gcia. Distrito Bogotá 5,Distrito BTA 2,2809,2520,2517,C CIAL PALATINO     ,2520,GCIA DISTRITO BTA 5 ,GZ DISTRITOS BTA 1,,Distrito BTA 2,,,
0132,42,-,021,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 21,GZ DISTRITOS BTA 3,KENNEDY CARAVANA    ,-,,Gcia. Distrito Bogotá 21,Distrito BTA 19,2611,2705,2696,KENNEDY CARAVANA    ,2684, GCIA DISTRITO BTA 21,GZ DISTRITOS BTA 3,,Distrito BTA 19,,,
