COD OFICINA,ACTUAL COD REGION COMERCIAL,NUEVO COD REGION COMERCIAL,ACTUAL COD ZONA COMERCIAL,NUEVO COD ZONA COMERCIAL,ACTUAL NOMBRE REGION COMERCIAL,NUEVO NOMBRE REGION COMERCIAL,ACTUAL NOMBRE ZONA COMERCIAL,NUEVO NOMBRE ZONA COMERCIAL,Actual Nombre oficina,NUEVO NOMBRE OFICINA,NOMBRE GERENCIA/AREA,NOMBRE DISTRITO ACTUAL,NOMBRE NUEVO DISTRITO
0088,06,,005,001,NORORIENTE          ,DIRECCION CARIBE,MAGDALENA-GUAJIRA   ,GZ CESAR MAGDALENA Y GUAJIRA,CC VIVA WAJIRA      ,No Aplica,,-,-
0089,42,,017,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 17,GZ DISTRITOS BTA 3,AUTOPISTA DEL SUR   ,No Aplica,,Gcia. Distrito Bogotá 17,Distrito BTA 18
0091,06,,002,001,NORORIENTE          ,DIRECCION CARIBE,CESAR               ,GZ CESAR MAGDALENA Y GUAJIRA,LOPERENA VALLEDUPAR ,No Aplica,,-,Distrito Valledupar
0092,42,,025,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 25,GZ DISTRITOS BTA 3,FONTIBON            ,No Aplica,,Gcia. Distrito Bogotá 25,Distrito BTA 21
0094,08,,006,004,CENTRAL             ,DIRECCION CENTRAL,SABANA              ,GZ MUNICIPIOS DE CUNDINAMARCA,MOSQUERA            ,No Aplica,,-,-
0095,42,,014,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 14,GZ DISTRITOS BTA 2,LAS AMERICAS        ,No Aplica,,Gcia. Distrito Bogotá 14,Distrito BTA 12
0096,42,06,032,003,DIRECCION DISTRITOS ,DIRECCION CARIBE,G.DISTRITO BQUILLA 1,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,DISTRITO 90         ,No Aplica,,Gcia. Distrito B/quilla 1,Distrito B/quilla 1
0097,06,,001,003,NORORIENTE          ,DIRECCION CARIBE,BOLIVAR-SAN ANDRES  ,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,CTRO CCIAL MALL PLAZ,No Aplica,,-,Distrito Cartagena
0103,42,,020,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 20,GZ DISTRITOS BTA 2,CIUDAD MONTES       ,No Aplica,,Gcia. Distrito Bogotá 20,Distrito BTA 13
0104,04,,002,005,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE,MUNICIPIOS ANTIOQUIA,GZ VALLE DE SAN NICOLAS Y CHOCO,ABEJORRAL           ,No Aplica,,-,-
